Heart_Rate,Body_Temperature,Blood_Oxygen,Step_Count,Activity_Status,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,GSR_Value,HRV,Sweat_Response
178,36.6,96.0,359.0,Running,-13.840576273085858,7.363593809043533,4.156826274738781,9.270462831670942,-6.196291974267362,-4.257032171301568,18.78280771672263,20.4724367984292,6.750548424439582
153,37.4,99.0,428.0,Running,14.36335793543123,-16.360171754989445,5.123787782747897,6.105168477626765,0.2996631513316412,0.8760570945425603,13.7727630585897,59.82463376332535,5.01004465813293
130,36.6,96.0,307.0,Running,-13.962532224891875,5.591866952212962,20.994249514396262,-4.797196183617399,-6.54410199559556,-1.5676484308619896,19.06012359813377,56.30287314342488,2.6762979090818746
170,36.8,96.0,688.0,Running,-5.89672479984809,6.258206096018265,-2.522290066748782,0.7044312345560197,4.035612983186551,2.368160384057272,9.357257154562864,44.03480459578094,5.8458436572393
134,37.0,95.0,621.0,Running,-0.1322728024317524,-0.6475820267437025,3.912386601531737,1.6158385709239074,2.381788846781096,2.777563231711241,8.238085055446025,44.00151406803295,4.997089954058632
118,37.1,95.0,769.0,Running,2.046863231046604,-8.432050979782733,-12.012503497422944,2.5680005328485827,1.9620798358938352,4.879083596723545,8.281091952997782,39.94827199318651,9.864570293105038
180,37.1,97.0,418.0,Running,1.9292401115174107,-5.653540321326858,10.261563365599114,-14.361311066408248,-8.84537952444559,0.2746705549992436,1.9188915099268369,57.31340445630078,7.490078062796655
175,36.6,97.0,515.0,Running,-14.489515505600789,-24.22211610124744,-1.6917475394200323,-3.011060301808903,-4.112099661911003,12.133582431727612,16.195883924469882,65.54131476569384,8.486929034640482
173,36.8,99.0,458.0,Running,-7.054473242268145,-7.8095735036106735,8.65986738736939,2.3438712803751187,5.605153336622357,2.164799126803481,11.539053470978976,28.655376121074905,4.656830453490906
146,37.1,96.0,450.0,Running,3.246381627754927,3.865630995307309,5.327281515025438,7.463442844797608,1.312806645009625,1.6391058642154264,2.1321548497097305,66.36292505905547,2.379774711283744
168,37.3,98.0,724.0,Running,9.56034224579912,-4.125647912038577,-3.6320204544438384,-1.355618005212844,0.9679495568377218,4.621350697689149,12.482827074580651,43.05590731962113,10.35067222487092
155,36.6,98.0,565.0,Running,-11.722824915990577,-3.195030615244844,-17.049195032025377,4.420226981805248,-0.5161087646624811,1.2769187783715854,13.663917557167665,57.40482271464727,8.355237676094394
122,37.2,97.0,750.0,Running,7.962753059463141,11.77189643720666,-3.551921225750696,3.684219485462167,1.3268117469981422,-4.47673161181512,2.5220088055824426,69.44094592672094,11.14190875158522
119,37.1,97.0,630.0,Running,3.499703200815115,-4.069821556227852,-3.4227255023206022,5.743186747143576,3.006033744645574,1.945795978339644,11.7543500728686,64.94177322366693,0.149101070996231
157,37.2,97.0,402.0,Running,5.03002084451089,-8.3896214939069,-1.9242285210327872,0.4307194152318738,7.262337672353727,-0.3176228730767755,11.284132107891883,53.645070830816,6.763871951554624
